movieId,title,genres,Cluster
1.0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,9
2.0,Jumanji (1995),Adventure|Children|Fantasy,9
3.0,Grumpier Old Men (1995),Comedy|Romance,2
4.0,Waiting to Exhale (1995),Comedy|Drama|Romance,1
5.0,Father of the Bride Part II (1995),Comedy,2
6.0,Heat (1995),Action|Crime|Thriller,8
7.0,Sabrina (1995),Comedy|Romance,2
8.0,Tom and Huck (1995),Adventure|Children,9
9.0,Sudden Death (1995),Action,7
10.0,GoldenEye (1995),Action|Adventure|Thriller,7
11.0,"American President, The (1995)",Comedy|Drama|Romance,1
12.0,Dracula: Dead and Loving It (1995),Comedy|Horror,2
13.0,Balto (1995),Adventure|Animation|Children,9
14.0,Nixon (1995),Drama,3
15.0,Cutthroat Island (1995),Action|Adventure|Romance,7
16.0,Casino (1995),Crime|Drama,0
17.0,Sense and Sensibility (1995),Drama|Romance,1
18.0,Four Rooms (1995),Comedy,2
19.0,Ace Ventura: When Nature Calls (1995),Comedy,2
20.0,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,8
21.0,Get Shorty (1995),Comedy|Crime|Thriller,0
22.0,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,0
23.0,Assassins (1995),Action|Crime|Thriller,8
24.0,Powder (1995),Drama|Sci-Fi,3
25.0,Leaving Las Vegas (1995),Drama|Romance,1
26.0,Othello (1995),Drama,3
27.0,Now and Then (1995),Children|Drama,3
28.0,Persuasion (1995),Drama|Romance,1
29.0,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,3
30.0,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,0
31.0,Dangerous Minds (1995),Drama,3
32.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,5
34.0,Babe (1995),Children|Drama,3
36.0,Dead Man Walking (1995),Crime|Drama,0
38.0,It Takes Two (1995),Children|Comedy,2
39.0,Clueless (1995),Comedy|Romance,2
40.0,"Cry, the Beloved Country (1995)",Drama,3
41.0,Richard III (1995),Drama|War,3
42.0,Dead Presidents (1995),Action|Crime|Drama,0
43.0,Restoration (1995),Drama,3
44.0,Mortal Kombat (1995),Action|Adventure|Fantasy,7
45.0,To Die For (1995),Comedy|Drama|Thriller,4
46.0,How to Make an American Quilt (1995),Drama|Romance,1
47.0,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,5
48.0,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1
49.0,When Night Is Falling (1995),Drama|Romance,1
50.0,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,0
52.0,Mighty Aphrodite (1995),Comedy|Drama|Romance,1
53.0,Lamerica (1994),Adventure|Drama,3
54.0,"Big Green, The (1995)",Children|Comedy,2
55.0,Georgia (1995),Drama,3
57.0,Home for the Holidays (1995),Drama,3
58.0,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1
60.0,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,9
61.0,Eye for an Eye (1996),Drama|Thriller,3
62.0,Mr. Holland's Opus (1995),Drama,3
63.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,2
64.0,Two if by Sea (1996),Comedy|Romance,2
65.0,Bio-Dome (1996),Comedy,2
66.0,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,8
68.0,French Twist (Gazon maudit) (1995),Comedy|Romance,2
69.0,Friday (1995),Comedy,2
70.0,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,5
71.0,Fair Game (1995),Action,7
72.0,Kicking and Screaming (1995),Comedy|Drama,4
73.0,"Misérables, Les (1995)",Drama|War,3
74.0,Bed of Roses (1996),Drama|Romance,1
75.0,Big Bully (1996),Comedy|Drama,4
76.0,Screamers (1995),Action|Sci-Fi|Thriller,8
77.0,Nico Icon (1995),Documentary,6
78.0,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,8
79.0,"Juror, The (1996)",Drama|Thriller,3
80.0,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,3
81.0,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,1
82.0,Antonia's Line (Antonia) (1995),Comedy|Drama,4
83.0,Once Upon a Time... When We Were Colored (1995),Drama|Romance,1
85.0,Angels and Insects (1995),Drama|Romance,1
86.0,White Squall (1996),Action|Adventure|Drama,7
87.0,Dunston Checks In (1996),Children|Comedy,2
88.0,Black Sheep (1996),Comedy,2
89.0,Nick of Time (1995),Action|Thriller,8
